DEBUG 2022-11-10 05:11:59,491 - Starting new HTTPS connection (1): watch.cricfree.io:443
DEBUG 2022-11-10 05:12:00,179 - https://watch.cricfree.io:443 "GET /category/football HTTP/1.1" 200 None
DEBUG 2022-11-10 05:12:00,402 - page fetched
DEBUG 2022-11-10 05:12:00,464 - html values found
DEBUG 2022-11-10 05:12:00,464 - html values found
DEBUG 2022-11-10 05:12:00,464 - html values found
DEBUG 2022-11-10 05:12:00,464 - html values found
DEBUG 2022-11-10 05:12:00,464 - html values found
DEBUG 2022-11-10 05:12:00,464 - html values found
DEBUG 2022-11-10 05:12:00,464 - html values found
DEBUG 2022-11-10 05:12:00,464 - html values found
DEBUG 2022-11-10 05:12:00,465 - html values found
DEBUG 2022-11-10 05:12:00,465 - html values found
DEBUG 2022-11-10 05:12:00,465 - html values found
DEBUG 2022-11-10 05:12:00,465 - html values found
DEBUG 2022-11-10 05:12:00,465 - html values found
DEBUG 2022-11-10 05:12:00,465 - html values found
DEBUG 2022-11-10 05:12:00,465 - html values found
DEBUG 2022-11-10 05:12:00,465 - html values found
DEBUG 2022-11-10 05:12:00,466 - html values found
DEBUG 2022-11-10 05:12:00,466 - html values found
DEBUG 2022-11-10 05:12:00,466 - html values found
DEBUG 2022-11-10 05:12:00,466 - html values found
DEBUG 2022-11-10 05:12:00,467 - html values found
DEBUG 2022-11-10 05:12:00,467 - html values found
DEBUG 2022-11-10 05:12:00,467 - html values found
DEBUG 2022-11-10 05:12:00,467 - saving json data
