DEBUG 2022-11-26 02:22:13,129 - Starting new HTTPS connection (1): watch.cricfree.io:443
DEBUG 2022-11-26 02:22:14,194 - https://watch.cricfree.io:443 "GET /category/football HTTP/1.1" 200 None
DEBUG 2022-11-26 02:22:14,401 - page fetched
DEBUG 2022-11-26 02:22:14,414 - html values found
DEBUG 2022-11-26 02:22:14,416 - html values found
DEBUG 2022-11-26 02:22:14,416 - html values found
DEBUG 2022-11-26 02:22:14,416 - html values found
DEBUG 2022-11-26 02:22:14,416 - html values found
DEBUG 2022-11-26 02:22:14,418 - html values found
DEBUG 2022-11-26 02:22:14,418 - html values found
DEBUG 2022-11-26 02:22:14,418 - html values found
DEBUG 2022-11-26 02:22:14,418 - html values found
DEBUG 2022-11-26 02:22:14,419 - saving json data
